1605799994:0;pip install -U /media/ramon/f9abf31d-9e05-4c6f-9dec-9bb9c0612a74/development/marmita-sdk/marmita-python/dist/marmitasdk-1.0.0-py3-none-any.whl
1591721314:0;pip install -U mycli
1584540449:0;pip install -U neovim
1573823807:0;pip install -U npyscreen
1591724131:0;pip install -U numpy
1591722187:0;pip install -U pex
1591721226:0;pip install -U pgcli
1591721351:0;pip install -U pgcli litecli

1573823996:0;pip install -U pyscreen npyscreen
1566220730:0;pip install -U pyyaml
1571848900:0;pip install -U ranger
1566218082:0;pip install -U requests
1566218154:0;pip install -U requests==2.20
1591714725:0;pip install -U -r /home/ramon/development/python-tools-venv/requirements.txt
1566218291:0;pip install urllib3==1.24 idna==2.7
1596478938:0;pip install -U -r requirements.txt
1588262110:0;pip install -Ur requirements.txt
1584960734:0;pip install -U -r updates.txt
1572335579:0;pip install urwid
1606470420:0;pip install -U scalene
1591724579:0;pip install -U scikit-lear
1591724584:0;pip install -U scikit-learn
1570609558:0;pip install --user easymodels
1576576712:0;pip install --user gallery-dl
1571668834:0;pip install --user pygments
1591636853:0;pip install --user PyGObject
1571653265:0;pip install --user --upgrade pip
1583231877:0;pip install --user -U wormhole
1583231890:0;pip install --user -U wormhole.cli
1587460230:0;pip install --user vtt_to_srt\
1579595147:0;pip install --user xar 
1572954810:0;pip install -U setuptools
1572954807:0;pip install -U setup-tools
1591885795:0;pip install -U ssss
1566219168:0;pip install -U toolz
1566218314:0;pip install -U "urllib3<1.25,>=1.21.1"
1566218310:0;pip install -U urllib3<1.25,>=1.21.1
1566218177:0;pip install -U urllib3 idna chardet certifi
1571917879:0;pip install -U --user pip
1607619919:0;pip install uvicorn fastapi
1606474361:0;pip install uvloop
1572333568:0;pip install -U wheel
1566220707:0;pip install -U yaml
1561323146:0;pip install -U youtube-dl
1584961118:0;pip install -U youtube-dl
1572335564:0;pip install -UY pip wheel
1584961071:0;pip install -U ytmdl 
1566290113:0;pip install vispy numpy
1566220524:0;pip install weasyprint
1579691870:0;pip install xar
1600767784:0;pip install xlrd
1573810564:0;pip install ytdlm
1573810592:0;pip install ytmdl
1572335728:0;pip install zope
1585304284:0;pip install zsh_jupyter_kernel

1606123369:0;pipx/bin/pip install -U pipx
1606123626:0;pipx/bin/pipx install git+https://github.com/psf/black.git
1606123473:0;pipx/bin/pipx install pycowsay
1606123617:0;pipx install git+https://github.com/psf/black.git
1605628884:0;~/.pre-commit/bin/pip install pre-commit
1605628596:0;~/.precommit/bin/pip install precommit
1605628865:0;~/.pre-commit/bin/pip install -U pip setuptools wheel

1605540844:0;pyenv install 3.8.6
1605269290:0;pyenv install 3.9
1605269297:0;pyenv install 3.9.0
1606210213:0;pyenv  install --list
1606210218:0;pyenv  install --list | less -SCR
1572002964:0;python3.7 -m pip install shellhistory
1605019281:0;python3.7 -m pip install -U pip
1572002968:0;python3.7 -m pip install --user shellhistory
1605019305:0;python3.7 -m pip install --user -U pip
1605616944:0;python3 -m pip install flake8\
1588752982:0;python3 -m pip install --upgrade pip
1601893878:0;python3 setup.py bdist_wheel && pip install -e
1601899275:0;python3 setup.py bdist_wheel && pip install -e .


1603802118:0;python setup.py install --dry-run
1603796672:0;python setup.py install --dry-run 
1603803939:0;python setup.py install --dry-run | less -SCR
1570612140:0;rbenv install 2.4.1
1570612164:0;rbenv install --list
1570612168:0;rbenv install --list | less -SC
1570611390:0;rustup toolchain install --help
1568620150:0;sdk install crash
1565009911:0;sdk install crash 1.3.0
1565009896:0;sdk install crash 1.3.3
1568620149:0;sdk install crashç
1566549611:0;sdk install gradle 4.10.3
1584705357:0;sdk install gradle 4.4.1
1567067104:0;sdk install gradle 5.6.1
1591016126:0;sdk install gradle 6.4.1
1561023034:0;sdk install groovy 2.5.7
1565685796:0;sdk install groovy 3.0.0-beta-3
1604668055:0;sdk install java 10.0.2-zulu
1579253293:0;sdk install java 11.0.5.hs-adpt
1606333342:0;sdk install java 11.0.9-zulu
1606333295:0;sdk install java 15.0.5-zulu
1565351515:0;sdk install java 19.1.1-grl
1566549745:0;sdk install java 19.2.0-grl
1578409452:0;sdk install java 19.2.0-grl
1578409503:0;sdk install java 19.3.0.2.r11-grl
1578408857:0;sdk install java 19.3.0.r11-grl  
1591286240:0;sdk install java 20.1.0.r11-grl
1578409374:0;sdk install java 8.0.202
1578409398:0;sdk install java 8.0.202-zulu
1578559547:0;sdk install jbang 0.4.0.1
1606333490:0;sdk install jbang 0.54.1
1561024172:0;sdk install kotlin 1.3.40
1566803045:0;sdk install kotlin 1.3.50
1574848317:0;sdk install kotlin 1.3.61
1574848650:0;sdk install kotlin 1.3.61
1574848658:0;sdk install kotlin 1.3.61
1604579496:0;sdk install kotlin 1.4.10
1572535119:0;sdk install kscript 2.8.0
1574848506:0;sdk install kscript 2.9.0
1574848547:0;sdk install kscript 2.9.0
1587483441:0;sdk install kscript 2.9.3
1603373220:0;sdk install kscript 2.9.3
1606334611:0;sdk install kscript 3.0.2
1607614170:0;sdk install leiningen 2.9.5
1561022931:0;sdk install scala 2.13.0
1604579885:0;sdk install scala 2.13.3
1568647140:0;sdk install visualvm 1.4.3
1604579528:0;sdk install visualvm 2.0.4
1573469990:0;snap install bat
1570522780:0;snap install cool-retro-term
1579097395:0;snap install datagrip
1579097411:0;snap install datagrip --classic
1575297204:0;snap install --edge --classic podman 
1575297114:0;snap install --edge --devmode podman 
1575297220:0;snap install --edge --jailmode podman 
1575296997:0;snap install --edge podman 
1572340579:0;snap install --edge zola
1607618900:0;snap install --edge zola
1586762512:0;snap install foliate
1585065937:0;snap install hub
1585065953:0;snap install hub --classic
1588235824:0;snap install insomnia
1570693804:0;snap install links
1572002557:0;snap install loop-rs --beta
1570693654:0;snap install lynx
1578489489:0;snap install microk8s
1578489498:0;snap install microk8s --clasic
1574683776:0;snap install microk8s --classic
1578489500:0;snap install microk8s --classic
1578479551:0;snap install mosaic
1570004407:0;snap install newsboat
1603185221:0;snap install onefetch
1575296980:0;snap install podman --devmode
1575296943:0;snap install podman --edge
1560940501:0;snap install ripgrep
1560940521:0;snap install ripgrep --clasic
1560940524:0;snap install ripgrep --classic
1585732245:0;snap install ttyplot
1607604166:0;soas aptitude install medit
1575980667:0;stack install bench
1602602237:0;stack install hdevtools
1607616255:0;stack install ShellCheck
1566289990:0;sudi -i aptitude install libglfw3 libglfw3-dev libglfw3-doc
1571307878:0;sudo apt-get install cmake pkg-config libfreetype6-dev libfontconfig1-dev libxcb-xfixes0-dev python3\
1571334459:0;sudo apt-get install i3
1571335230:0;sudo apt-get install libgtk-2-dev\
1571335166:0;sudo apt-get install libgtk3.0-dev\
